candidate_id,rank,score,reasoning
CAND_0050915,50,0.7312,"Data Analyst with 7.8 years of experience, currently at Stark Industries. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 23% response rate, is located in Bangalore, Karnataka (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0017771,51,0.7306,"Senior Software Engineer with 7.8 years of experience, currently at Unacademy. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 30% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 60-day notice period."
CAND_0041610,52,0.7300,"Recommendation Systems Engineer with 6.7 years of experience, currently at Zoho. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 52% response rate, is currently based in Indore, Madhya Pradesh, and has a 30-day notice period."
CAND_0011327,53,0.7292,"AI Research Engineer with 6.3 years of experience, currently at Krutrim. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 79% response rate, is located in Gurgaon, Haryana (Tier-1 hub, relocation willing), and has a 60-day notice period."
CAND_0040099,54,0.7281,"ML Engineer with 3.9 years of experience, currently at TCS. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 69% response rate, is based in preferred hub Pune, Maharashtra, and has a 45-day notice period."
CAND_0053537,55,0.7279,"Software Engineer with 8.0 years of experience, currently at Stark Industries. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 74% response rate, is located in Hyderabad, Telangana (Tier-1 hub, relocation willing), and has a 60-day notice period."
CAND_0009482,56,0.7271,"Data Engineer with 7.5 years of experience, currently at Tech Mahindra. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 69% response rate, is currently based in Berlin, and has a 90-day notice period."
CAND_0003599,57,0.7238,"Computer Vision Engineer with 6.5 years of experience, currently at Krutrim. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 47% response rate, is currently based in Coimbatore, Tamil Nadu, and has a 60-day notice period."
CAND_0070703,58,0.7227,"Senior Data Engineer with 7.9 years of experience, currently at Wipro. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 44% response rate, is located in Delhi, Delhi (Tier-1 hub, relocation willing), and has a 120-day notice period."
CAND_0036134,59,0.7226,"Senior Software Engineer with 6.0 years of experience, currently at Zoho. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 70% response rate, is located in Bangalore, Karnataka (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0019164,60,0.7222,"Data Analyst with 5.2 years of experience, currently at Wipro. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 54% response rate, is based in preferred hub Pune, Maharashtra, and has a 60-day notice period."
CAND_0028793,61,0.7218,"Search Engineer with 7.2 years of experience, currently at Google. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 57% response rate, is currently based in Trivandrum, Kerala, and has a 120-day notice period."
CAND_0099965,62,0.7218,"Junior ML Engineer with 4.6 years of experience, currently at Niramai. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 88% response rate, is currently based in Kochi, Kerala, and has a 120-day notice period."
CAND_0094400,63,0.7200,"Computer Vision Engineer with 5.5 years of experience, currently at Verloop.io. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 38% response rate, is located in Hyderabad, Telangana (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0033445,64,0.7198,"ML Engineer with 6.8 years of experience, currently at Vedantu. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 94% response rate, is currently based in Ahmedabad, Gujarat, and has a 30-day notice period."
CAND_0064402,65,0.7197,"Software Engineer with 7.1 years of experience, currently at Mphasis. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 63% response rate, is currently based in Indore, Madhya Pradesh, and has a 90-day notice period."
CAND_0099269,66,0.7193,"Data Scientist with 5.5 years of experience, currently at BYJU'S. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 33% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 120-day notice period."
CAND_0030031,67,0.7187,"AI Engineer with 5.7 years of experience, currently at Microsoft. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 94% response rate, is currently based in Trivandrum, Kerala, and has a 30-day notice period."
CAND_0018499,68,0.7186,"Senior Machine Learning Engineer with 7.2 years of experience, currently at Zomato. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 61% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 15-day notice period."
CAND_0048774,69,0.7184,"Senior Data Engineer with 7.1 years of experience, currently at PhonePe. Demonstrates strong technical expertise in vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 66% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 90-day notice period."
CAND_0072817,70,0.7177,"Analytics Engineer with 7.2 years of experience, currently at Stark Industries. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 30% response rate, is located in Mumbai, Maharashtra (Tier-1 hub, relocation willing), and has a 120-day notice period."
CAND_0049540,71,0.7171,"ML Engineer with 6.8 years of experience, currently at Saarthi.ai. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 86% response rate, is currently based in Trivandrum, Kerala, and has a 60-day notice period."
CAND_0088354,72,0.7166,"Junior ML Engineer with 6.5 years of experience, currently at Aganitha. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 80% response rate, is currently based in Kolkata, West Bengal, and has a 120-day notice period."
CAND_0005191,73,0.7165,"AI Specialist with 6.2 years of experience, currently at Flipkart. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 45% response rate, is currently based in Vizag, Andhra Pradesh, and has a 60-day notice period."
CAND_0086151,74,0.7164,"Recommendation Systems Engineer with 7.7 years of experience, currently at Wysa. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 52% response rate, is currently based in Vizag, Andhra Pradesh, and has a 120-day notice period."
CAND_0095868,75,0.7159,"Junior ML Engineer with 5.2 years of experience, currently at Rephrase.ai. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 60% response rate, is located in Mumbai, Maharashtra (Tier-1 hub, relocation willing), and has a 120-day notice period."
CAND_0081893,76,0.7139,"Data Engineer with 6.0 years of experience, currently at Acme Corp. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 35% response rate, is currently based in Indore, Madhya Pradesh, and has a 60-day notice period."
CAND_0046356,77,0.7137,"Data Engineer with 6.7 years of experience, currently at Mindtree. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 70% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 120-day notice period."
CAND_0005887,78,0.7135,"Backend Engineer with 7.1 years of experience, currently at Hooli. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 78% response rate, is located in Delhi, Delhi (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0005558,79,0.7130,"Backend Engineer with 7.6 years of experience, currently at Pied Piper. Demonstrates strong technical expertise in vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 33% response rate, is based in preferred hub Pune, Maharashtra, and has a 30-day notice period."
CAND_0006538,80,0.7123,"AI Specialist with 5.7 years of experience, currently at Dream11. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 86% response rate, is currently based in Kolkata, West Bengal, and has a 60-day notice period."
CAND_0080372,81,0.7113,"Computer Vision Engineer with 5.2 years of experience, currently at Zoho. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 63% response rate, is located in Mumbai, Maharashtra (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0033350,82,0.7112,"Data Scientist with 6.2 years of experience, currently at upGrad. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 85% response rate, is currently based in Coimbatore, Tamil Nadu, and has a 90-day notice period."
CAND_0077956,83,0.7102,"Computer Vision Engineer with 6.4 years of experience, currently at Niramai. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 88% response rate, is currently based in Chandigarh, Chandigarh, and has a 120-day notice period."
CAND_0070496,84,0.7101,"Senior Software Engineer with 6.0 years of experience, currently at PolicyBazaar. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 74% response rate, is located in Delhi, Delhi (Tier-1 hub, relocation willing), and has a 60-day notice period."
CAND_0010603,85,0.7100,"ML Engineer with 5.3 years of experience, currently at BYJU'S. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 94% response rate, is located in Bangalore, Karnataka (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0035473,86,0.7095,"Backend Engineer with 5.9 years of experience, currently at Dunder Mifflin. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 46% response rate, is located in Mumbai, Maharashtra (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0024878,87,0.7060,"AI Specialist with 5.7 years of experience, currently at HCL. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 84% response rate, is currently based in Vizag, Andhra Pradesh, and has a 60-day notice period."
CAND_0007874,88,0.7058,"Junior ML Engineer with 3.7 years of experience, currently at Sarvam AI. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 75% response rate, is currently based in Chandigarh, Chandigarh, and has a 60-day notice period."
CAND_0055875,89,0.7054,"Analytics Engineer with 5.5 years of experience, currently at Initech. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 57% response rate, is currently based in Ahmedabad, Gujarat, and has a 90-day notice period."
CAND_0071974,90,0.7053,"Senior AI Engineer with 7.8 years of experience, currently at Netflix. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 76% response rate, is currently based in Vizag, Andhra Pradesh, and has a 45-day notice period."
CAND_0038099,91,0.7050,"Junior ML Engineer with 5.4 years of experience, currently at Locobuzz. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 81% response rate, is currently based in Bhubaneswar, Odisha, and has a 90-day notice period."
CAND_0015078,92,0.7044,"Junior ML Engineer with 5.6 years of experience, currently at Zomato. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 54% response rate, is located in Gurgaon, Haryana (Tier-1 hub, relocation willing), and has a 60-day notice period."
CAND_0018888,93,0.7041,"AI Research Engineer with 6.5 years of experience, currently at Razorpay. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 55% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 30-day notice period."
CAND_0086022,94,0.7032,"Senior Applied Scientist with 5.3 years of experience, currently at Sarvam AI. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 55% response rate, is currently based in Kolkata, West Bengal, and has a 0-day notice period."
CAND_0074735,95,0.7023,"Applied ML Engineer with 5.5 years of experience, currently at Rephrase.ai. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 77% response rate, is currently based in Chandigarh, Chandigarh, and has a 90-day notice period."
CAND_0027789,96,0.7011,"Data Analyst with 6.4 years of experience, currently at Nykaa. Demonstrates strong technical expertise in vector databases, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 61% response rate, is currently based in Coimbatore, Tamil Nadu, and has a 90-day notice period."
CAND_0004972,97,0.7009,"ML Engineer with 6.0 years of experience, currently at Glance. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 74% response rate, is located in Gurgaon, Haryana (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0022023,98,0.7005,"AI Research Engineer with 4.6 years of experience, currently at Saarthi.ai. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 47% response rate, is based in preferred hub Pune, Maharashtra, and has a 60-day notice period."
CAND_0033911,99,0.7004,"Data Scientist with 6.9 years of experience, currently at Mad Street Den. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 76% response rate, is located in Delhi, Delhi (Tier-1 hub, relocation willing), and has a 120-day notice period."
CAND_0087030,100,0.7002,"Data Engineer with 7.8 years of experience, currently at Meesho. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 63% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 90-day notice period."
